lwpred;zimean_pred;zisd_pred
1.4421449;1.2690362;.78674972
1.4276817;1.2726145;.77959496
1.4132185;1.2761928;.77437544
1.3987551;1.2797711;.77125847
1.3842919;1.2833493;.77037787
1.3698287;1.2869276;.7718339
1.3553655;1.2905059;.77569318
1.4085194;1.2940842;.78198892
1.3859628;1.2976624;.7907207
1.3723975;1.3012407;.80185467
1.357002;1.304819;.81532329
1.3387264;1.3083972;.83102572
1.3284806;1.3119755;.8488273
1.3107048;1.3155538;.86856002
1.2916466;1.3191321;.89002228
1.2782232;1.3227103;.91298032
1.2602125;1.3262886;.93716133
1.2474674;1.3298669;.96226859
1.2274435;1.3334451;.98796082
1.2144706;1.3370234;1.0138744
1.1965064;1.3406017;1.0396007
1.1793928;1.34418;1.0647092
1.1655331;1.3477582;1.0887243
1.1509739;1.3513365;1.1111481
1.1332705;1.3549148;1.1314381
1.1191269;1.358493;1.1490294
1.0994921;1.3620713;1.1633123
1.0820763;1.3656496;1.1736549
1.0659517;1.3692279;1.1793804
1.0507326;1.3728061;1.1797897
1.0379175;1.3763844;1.174139
1.0182257;1.3799627;1.1616623
1.0051185;1.3835409;1.1415488
.98326844;1.3871192;1.112965
.97593015;1.3906975;1.0750331
.94951952;1.3942758;1.0268528
.93723768;1.397854;.96747917
.92177808;1.4014323;.89594471
.9077605;1.4050106;.81123745
.88390636;1.4085888;.71232283
.86361516;1.4121671;.59812176
